1	0.94	0.94	1.06
2	1.08	1.08	1.7
3	1.48	1.48	2.04
4	1.72	1.76	2.38
5	2.1	2.12	2.74
6	2.42	2.3	3.28
7	2.72	2.54	3.82
8	3.06	3.04	4.38
9	3.48	3.44	4.8
10	3.82	3.82	5.2
11	4.12	4.12	5.7
12	4.4	4.4	6
13	4.64	4.64	6.36
14	5.02	5.02	6.78
15	5.26	5.24	7.14
16	5.52	5.58	7.46
17	5.68	5.76	7.76
18	6.04	6.08	8.04
19	6.36	6.36	8.38
20	6.58	6.7	8.64
21	6.9	6.96	8.9
22	7.1	7.12	9.1
23	7.22	7.26	9.24
24	7.4	7.5	9.32
25	7.56	7.72	9.48
26	7.7	7.96	9.68
27	7.72	8	9.84
28	7.84	8.16	9.98
29	7.74	8.28	10.1
30	7.88	8.38	10.02
31	7.36	8.32	9.9
32	6.6	8.14	9.5
33	6.68	7.78	8.36
