1	18.92	18.48	18.88
2	14.92	16.14	14.34
3	10.98	9.14	10.38
4	7.34	6.7	4.36
5	6.2	5.2	3.06
6	6.54	3.18	2.62
7	4.46	3.16	3.04
8	4.24	3.42	2.12
9	3.7	3.52	1.6
10	4.18	3.12	2
11	3.08	2.84	2.14
12	2.7	2.78	1.9
13	3.5	3.26	1.9
14	2.98	2.54	1.74
15	2.28	2.46	1.9
16	2.88	2.54	1.6
17	1.98	2.94	2.12
18	1.82	2.16	1.76
19	2.66	2.54	1.46
20	2.8	3.18	1.46
21	2.04	2.36	1.66
22	2.3	2.54	1.32
23	1.76	2.78	1.88
24	2.82	2.9	1.76
25	2.12	2.34	1.44
26	2.02	2.6	1.78
27	2.1	2.74	1.52
28	2.3	2.26	1.54
29	2.1	1.84	1.78
30	2	1.56	1.54
31	2.08	1.96	1.66
32	1.86	1.673469388	1.34
33	1.08	1.191489362	1.14
