47916,47916,47916,45243,21780,10593,15444,17424,9108,10197,13860,14835,15834,36738,24927,8886,5784,20412,13329,7293,4716,7446,6513,1518,1182,1431,1260,1476,1980,828,1134,1836,27
23958,21780,41382,47916,31878,23364,23364,16335,10494,16335,10296,13149,34767,23967,16641,11865,8925,9870,15768,8394,10239,5118,4389,2034,3009,6801,4272,5667,3579,843,198,66,30
23958,23958,47916,47916,35640,32274,39204,47916,46926,39996,25641,12159,21069,35919,29304,12708,11820,31986,27534,19413,7461,8469,13647,8256,651,1602,1824,1674,1194,510,513,486,30
23958,23958,23265,19503,43560,35640,12258,11961,32634,34020,14436,5346,13050,38067,20715,11070,10176,8952,5559,7620,13626,7548,3081,9219,6558,2784,669,63
47916,47916,44847,13761,7425,32670,31878,19800,23364,23265,21780,28413,17721,10782,22005,16281,9198,4797,11511,9441,5112,3186,2916,4932,3762,2262,987,2466,1800,2079,2169,1242,27
47916,47916,20295,17424,34848,25344,6138,10890,28476,10062,8100,2226,396,6573,26934,24246,2091,6402,18996,18684,16566,8280,4215,4170,5079,4812,6300,6915,6081,2703,378,99,27
10648,21296,10648,9108,8668,8756,10648,6644,8756,6732,12276,13052,12032,5976,4924,13144,8568,6320,3604,2256,1064,1666,2990,4432,3500,1900,1976,892,948,2050,508,120,12
47916,47916,47916,45144,42966,42966,47916,47916,20691,7029,8712,19800,7617,7572,15348,19842,19110,3333,2067,28662,17034,5199,3429,4518,12891,14193,11793,11238,8526,2316,1845,1287,30
10648,19580,13288,13288,15576,20328,9196,8096,13552,8580,5324,10164,16940,5632,5632,12760,14344,13840,15452,14616,15624,12264,8138,7448,4040,4194,9716,1584,254,168,76,36,6
21296,21296,20240,15532,10648,10648,18376,17144,20312,16880,14028,6248,5148,13236,11176,11756,15668,14664,10734,10012,6030,2212,2380,3712,2176,3432,1416,1166,1412,488,76,52,8
10648,21296,21296,9856,6116,10384,8712,7920,17204,17820,18392,13552,15692,14620,11820,9386,3504,2388,8588,5114,3244,3364,4002,2294,700,704,1218,1424,1908,840,1012,1122,24
47916,47916,19800,14058,26433,23166,26136,16335,17820,18414,10098,19206,37026,38412,19008,6030,8676,21729,7794,9180,16812,29592,45306,15471,6759,11022,6030,2487,3186,2916,342,216,36
10648,21296,10648,8228,7568,14520,19712,13640,14256,14608,15136,10632,12084,16880,17848,16988,11544,5784,2784,6916,6364,4360,1460,1236,2216,420,368,1024,216,396,196,76,8
47916,47916,44352,20691,17424,11484,12870,20691,8514,15543,21384,12177,4653,3933,9555,31719,22326,3096,1311,3144,2664,3534,3219,2004,2034,2007,387,468,672,114,258,264,24
21296,21296,21296,6776,6336,12672,4576,5544,9680,2376,616,2816,1716,8572,18960,12640,12576,13628,18368,16474,12404,5608,3636,2620,2818,1488,1544,888,652,720,240,12,8
47916,47916,45342,22176,39204,21681,8217,19602,16416,10872,32361,25962,21945,40095,6963,2400,6045,2784,3516,12072,7527,3579,4002,10251,10560,3495,2877,7206,6990,5439,4635,1854,39
47916,47916,47916,23958,7326,6336,17424,10890,10827,14994,20664,28116,17595,7632,5094,6750,17739,6228,6183,12789,12483,4527,2034,1152,1152,936,972,666,630,504,531,243,18
47916,47916,39204,30492,47916,39600,22473,9504,17424,39600,30987,35937,18201,18000,31509,30762,33219,12426,13176,1890,3666,5979,1422,2196,1071,1071,1026,1494,1161,630,378,837,27
47916,47916,19899,17523,12375,21780,32670,17028,17424,23760,44154,44154,23958,20790,44154,14949,12177,31455,31608,43029,39672,38718,38565,28359,12996,14997,18027,7206,7287,8250,2616,2556,45
21296,21296,8492,8624,9196,8976,11000,9944,4356,5324,9592,12796,12072,13436,17116,13804,5352,6434,10396,10832,5972,2856,3004,2930,4296,3254,1226,966,268,288,552,376,18
10648,17204,12584,14520,16676,5940,2904,9944,16192,13464,10720,11952,15956,7516,2460,8528,20116,10248,8684,9852,10272,5216,3058,2176,2168,2856,1080,2596,332,84,112,116,12
2662,5324,5324,2530,2662,5324,4796,4554,4554,3036,3784,4136,4961,4796,4084,2338,1570,2634,1905,2630,1519,1338,707,548,693,280,117,54,35,12,18,6,2
10648,21296,16588,12584,17072,9416,9372,5016,7648,12788,3734,2310,9968,11980,6246,7044,6910,8168,8336,2200,1908,4472,7320,5968,5216,5976,2800,2632,2380,760,300,172,16
47916,47916,47916,46134,22374,21780,38412,13563,17424,46728,21186,19701,37323,43164,35568,38193,44667,41652,17712,12903,31491,33246,22020,12657,13689,18564,15876,3273,2250,5880,2160,216,39
47916,47916,46134,47916,32868,9306,4158,6534,14652,28116,46005,26310,11661,8808,16470,7893,20364,16323,7170,4581,1539,1899,4158,3708,345,114,387,528,219,66,96,48,24
23958,23958,47916,47916,34650,16335,17325,35640,19008,6633,6435,10692,9009,6615,5619,19467,30990,40821,21318,8700,8004,14463,12849,10164,6513,5841,5130,4893,4062,1563,1851,762,21
21296,21296,21296,21296,21208,10648,10648,19184,19360,12056,17776,16368,17072,17664,9624,9880,6812,3128,11372,9690,4972,4332,2602,1658,1488,584,466,1936,802,512,226,8,8
23958,7524,11781,32274,15246,23760,47322,33363,31149,25722,34614,46368,33894,30456,21312,21312,37863,42075,33912,6294,8793,28857,40623,32724,4674,3732,11334,7221,399,147,402,237,27
23958,8217,5148,15543,13860,15246,9405,10989,18414,19206,16002,11961,16317,11094,15480,44193,23853,13767,6144,3489,3948,4512,6276,1683,3837,3411,1125,312,471,330,324,318,30
47916,23958,7029,6534,23958,43164,44946,36828,15246,8316,10197,20277,32634,16317,7479,13212,28872,9702,12852,19080,21330,22860,12132,12042,13167,3555,1764,306,1035,1494,297,540,36
47916,47916,40986,43560,34848,43164,31680,23364,34848,20394,19602,44352,38214,19206,19323,32760,34794,31968,25677,31788,10521,11790,29988,30978,18156,15627,12777,3189,1080,3288,234,36,27
47916,47916,22275,21582,29700,29403,34650,22374,15642,13662,17721,35046,28710,32634,28320,12714,5838,5049,12501,14796,23739,28566,24138,17028,4329,6177,10185,2832,1653,3246,792,123,18
23958,35937,17820,20988,17424,19800,9009,8712,27522,19800,43029,20361,14406,29595,28278,13359,15252,27135,26058,21591,14628,19224,11244,5739,6741,3897,6294,2736,2700,1755,243,171,18
23958,23958,47916,43164,36432,30888,34056,28314,32040,32634,22356,17214,31773,20370,10479,10287,22071,11973,8709,3990,7176,38256,19413,16992,18324,7923,13932,10830,5778,6810,3483,1377,27
23958,47916,47718,47916,44352,42966,45738,47916,47916,47322,46926,46332,20097,21762,44118,35019,27720,26496,25290,34074,9450,11880,20772,27090,23472,25092,27474,8238,2286,3630,1740,1770,45
47916,47916,21285,21780,43164,37521,28116,28908,36432,47916,14553,12969,33624,31686,18312,17304,38358,19893,29256,16551,12330,18990,11034,4902,3135,339,555,2934,2787,849,843,864,27
10648,9812,21296,21296,10428,4092,6864,17424,19184,15400,4312,7744,5272,3032,8196,18424,9250,6840,14072,13364,4362,3660,8472,7902,9924,1880,2336,2992,2344,2828,2760,1032,20
10648,21296,21296,21296,21296,15708,14388,19624,12056,4920,5800,5548,3936,8612,14256,12152,15488,10392,12056,12744,4176,3244,2876,948,6308,13704,11236,9932,3328,1768,410,56,8
21296,21296,19492,21296,21296,21296,18700,7876,6776,9856,14168,15576,7436,5816,5232,5388,7984,3416,3256,7106,6788,6668,5952,7288,3912,2100,4592,1216,580,2068,2400,884,20
23958,47916,47916,47916,16830,14454,34848,34650,17523,9207,23958,42669,36378,22248,23832,35946,23400,31392,18798,16914,27573,7578,7605,11049,15159,16770,20598,10749,7911,8628,6111,405,36
23958,23958,47916,47916,39402,37125,40986,29403,39204,40986,32571,30888,38970,47430,47016,19296,15615,34677,14382,7455,10260,18123,7641,5871,6510,4605,2139,2421,1377,1218,396,315,36
2662,5324,5324,5324,5324,2090,1518,3938,2002,2453,4374,4029,3798,3259,3201,2878,2418,665,1015,302,564,376,188,134,104,68,60,90,112,96,120,22,2
21296,21296,10648,10648,21296,20504,14520,15224,21296,9460,6600,15268,6644,5536,13184,12128,7210,8564,7384,3556,1248,2616,3444,4260,3972,2040,1420,3448,4396,774,392,134,20
10648,9064,17468,4928,9680,21296,3520,5808,21296,16104,6468,2684,792,2258,6938,10234,2256,2476,8886,9844,13472,5368,1928,426,380,526,474,718,212,94,442,58,12
47916,23958,22077,15048,17424,47916,47322,23958,17424,37026,36036,25443,34452,36234,16236,16968,38250,13836,14031,31056,20787,17238,31440,37140,35073,24948,14793,19068,13119,8532,2268,1188,36
21296,21296,9768,8184,18392,10208,3872,3872,6416,11036,11794,13266,17108,12348,8256,9700,10618,3846,5082,2364,2196,4618,5480,6640,2956,1364,1100,544,222,140,30,22,14
21296,10648,10076,18348,7656,1716,5456,9680,7040,7480,6204,15708,4876,3732,5396,11080,14176,5444,7304,6532,4272,2696,1672,3166,5346,3112,1680,708,532,844,248,36,20
21296,21296,21296,21296,21296,20240,8228,3564,5632,10648,6908,7128,13288,8844,5368,8256,6380,9840,9640,6108,3152,2776,4888,4600,4430,1622,878,1608,3018,752,132,16,8
21296,10648,9944,19624,10648,8184,13200,6820,1628,2504,11296,3680,3780,15760,3536,3780,9744,10096,8004,5680,10428,4410,1144,1340,2324,1656,1640,672,432,240,112,16,12
10648,21296,20284,10648,4356,8756,14080,16456,21296,15472,12304,17408,8960,4652,6414,3564,1438,3114,5564,6028,6932,6356,7892,5602,4370,1794,1036,1974,948,586,388,632,18
23958,23958,22077,17919,41382,32274,12771,13959,37215,37800,15318,7524,14391,25308,17109,8640,6120,3888,2880,9900,11844,6894,5904,11358,9828,4716,1413,1044,1080,522,54,72,18
