4,5,9,12,14,15,18,22,23,24,27,27,28,31,33,35,36,40,42,43,45,46,49,50,51,48,51,53,53,57,26,50,26
5,8,9,9,14,16,19,21,22,22,23,27,29,33,34,36,40,42,44,46,46,46,48,52,50,52,55,60,61,62,20,24,62
4,8,12,14,14,15,18,20,22,22,26,28,30,33,34,35,36,37,39,41,46,48,49,49,54,55,56,57,59,64,66,66,64
5,9,11,11,14,15,16,16,21,26,26,30,32,33,35,38,40,42,43,45,47,50,52,54,54,54,54,54,54,56,62,64,56
5,9,10,11,13,14,16,18,21,21,25,26,26,30,35,36,38,39,39,43,43,43,50,54,55,53,54,62,63,63,57,57,56
4,5,9,10,12,14,15,18,20,23,25,27,27,31,32,33,35,39,41,43,45,46,47,49,54,56,57,57,61,62,64,66,61
5,5,9,13,15,16,16,19,20,21,22,25,27,29,31,33,34,37,39,41,44,47,47,49,52,54,53,57,60,61,61,62,59
5,8,9,11,13,16,17,19,23,25,27,29,32,34,35,37,39,40,40,41,39,43,45,49,51,51,55,55,55,55,59,63,55
8,10,12,13,13,17,19,22,23,25,27,29,30,31,33,35,37,37,39,43,44,48,49,51,52,52,57,59,60,60,61,62,60
6,9,11,12,15,15,19,20,22,21,26,29,31,29,33,36,39,40,41,43,44,48,49,51,52,52,57,60,61,62,67,69,62
4,4,8,10,14,18,19,22,23,24,25,26,27,31,32,34,36,39,40,43,45,47,48,49,49,54,52,56,57,57,57,57,56
5,9,10,12,14,16,17,19,20,21,25,29,32,34,36,37,38,42,44,46,46,47,49,51,55,55,56,57,60,64,64,64,64
5,8,9,13,14,15,18,20,24,26,27,29,31,32,33,34,38,40,40,41,42,42,43,43,47,47,47,47,47,47,17,30,17
4,5,8,9,13,14,18,19,22,26,27,29,29,32,34,35,37,38,38,38,42,43,44,49,49,51,53,53,53,57,59,59,53
5,8,12,13,16,18,19,21,22,25,27,28,29,33,33,33,34,38,39,40,43,47,48,52,53,55,58,59,59,59,62,62,58
5,9,10,10,14,17,19,21,21,25,28,30,32,34,36,38,39,41,42,39,44,47,51,52,52,57,59,61,60,60,60,63,60
5,8,8,10,11,12,16,17,22,23,25,28,30,32,34,36,40,42,42,44,46,46,48,48,50,50,54,51,51,51,51,55,49
