15,53,12,12,12,32,23,12,52,25,32,23,11,11,15,55,22,32,12,35,52,55,53,52,23,12,21,55,32,51,11,15,12,13,25,15,55,31,55,23,31,21,55,55,23,11,35,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21,42,42,41,13,22,24,13,41,24,44,34,32,22,34,14,33,13,12,31,11,44,42,11,21,13,12,32,44,11,13,31,33,13,23,21,14,43,13,12,43,41,22,13,42,41,23,13,43,43,13,31,33,21,31,42,33,32,22,44,42,43,22,34,12,44,14,13,31,42,34,42,22,24,14,22,41,24,22,23,12,22,42,41,,,,,,,,,,,,,,,,,,,,,,,
15,45,14,14,55,14,43,31,35,44,13,33,54,15,55,31,35,53,34,35,45,45,13,53,41,45,54,51,41,41,11,44,11,14,55,13,55,13,35,35,11,14,14,41,55,54,34,35,55,11,31,33,51,53,51,34,13,43,34,44,53,43,34,41,34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,44,14,14,11,23,43,41,14,23,23,41,44,34,32,41,31,13,34,33,44,21,24,42,32,41,32,33,33,43,42,11,24,31,44,32,32,42,42,33,12,31,11,32,14,41,32,14,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25,21,21,24,52,12,24,21,44,22,44,41,45,12,51,51,55,55,15,44,44,12,21,45,11,54,45,54,42,54,11,44,45,15,42,44,52,12,52,22,44,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,35,32,32,23,31,32,32,13,32,52,23,32,33,21,15,22,35,53,11,22,55,21,12,23,51,23,11,33,52,52,15,51,15,15,55,32,53,33,13,25,55,12,53,32,51,31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,13,45,45,44,55,35,14,41,41,53,34,15,43,41,14,34,41,45,33,44,51,35,34,15,53,41,43,13,31,41,13,31,13,43,31,34,53,55,15,43,53,51,13,41,43,53,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,21,41,41,42,11,52,41,45,11,21,52,45,55,45,54,12,55,54,25,25,41,44,54,15,45,45,11,11,54,12,52,41,22,14,54,24,22,11,45,41,24,22,51,22,14,55,11,14,21,45,24,54,11,15,41,15,11,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,52,52,52,52,23,43,33,53,44,23,43,54,44,35,23,53,42,42,52,33,35,52,22,45,55,45,43,45,44,34,32,43,45,34,54,22,25,23,22,33,43,23,24,45,35,44,33,45,24,43,35,32,33,54,54,34,43,55,24,33,34,22,44,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,33,31,31,31,21,22,55,53,51,12,52,21,52,11,52,52,13,13,23,23,31,23,12,12,22,11,33,32,12,53,35,25,32,52,53,55,21,13,32,15,55,55,23,25,12,12,25,25,23,33,55,52,32,12,13,13,23,23,25,12,35,52,35,33,53,21,22,15,15,31,31,23,53,35,53,11,11,53,55,32,23,53,32,52,15,51,35,55,33,23,11,15,51,31,55,15,55,15,51,11,11,22,25,25,23,,
22,11,45,45,52,55,22,14,51,52,24,54,21,51,54,44,12,45,54,14,12,54,24,51,52,52,55,12,21,11,44,14,15,44,55,42,44,11,45,24,54,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
