1	2	2	2
2	4	4	4
3	6	5.92	6
4	8	7.92	8
5	10	9.68	10
6	12	11.68	12
7	14	13.1	14
8	16	14.7	16
9	18	16.44	18
10	20	17.96	20
11	22	19.58	22
12	24	21.28	24
13	26	22.62	26
14	28	24.2	28
15	30	25.94	30
16	32	27.26	32
17	34	29.1	34
18	36	31.02	35.92
19	38	32.8	37.84
20	40	34.72	39.76
21	42	36.2	41.68
22	44	37.86	43.52
23	46	39.42	45.52
24	48	41.1	47.36
25	50	42.04	49.28
26	52	43.62	51.28
27	54	45.26	53.08
28	56	45.14	54.54
29	58	45.5	56.44
30	60	45.88	58.26
31	62	46.64	60.18
32	64	47.72	61.6
33	66	47.46	60.7
