1538,1583,1988,2170,1868,2061,2710,2273,2837,2879,1784,887,839,674,550,931,1767,1996,667,184,298,213,401,222,395,211,172,210,154,71,52,85,1
1510,1996,1929,1964,985,975,926,3187,3416,1936,2022,2517,2204,1953,1684,1843,1434,1471,2392,1150,711,772,624,1155,1261,2327,1724,1083,193,87,51,66,1
895,1409,763,882,1386,3569,3218,1632,1619,955,2050,2034,2409,1892,1416,1318,1284,882,1945,2166,2625,1835,1546,1817,807,247,248,402,98,21,5,6,0
911,1108,1275,1561,1609,3065,3303,2862,3083,3993,1896,1160,1543,3080,2973,3281,3229,1221,648,561,1211,2360,1408,1047,164,40,5,1,3,6,7,4,0
1103,1490,2222,2553,1337,1127,1871,1056,416,250,365,1207,3104,3819,4360,2331,826,371,316,310,509,721,634,346,182,154,37,13,17,18,5,5,1
1171,1560,2455,2203,2447,1506,1904,1780,1919,2244,2525,719,1111,1414,1271,1681,1218,2364,1038,604,789,1204,501,593,291,262,43,47,102,221,82,46,1
1307,2632,2121,1071,500,1546,3099,3085,3159,3366,2790,3969,3363,2971,2613,2576,1994,1177,417,514,994,2499,1458,1372,990,359,248,379,360,343,153,52,1
1539,1774,2142,743,1062,783,2611,1338,1243,1491,2418,1358,1576,1297,2404,999,634,542,1536,1447,1037,1000,402,747,725,270,59,43,54,60,46,14,0
629,1209,662,1614,2632,2166,1703,736,1086,1701,3383,1645,1537,1427,3598,2572,2807,1954,432,507,495,562,350,168,331,278,220,75,27,29,65,54,0
1001,688,1538,2715,1697,1371,1393,2631,3063,3906,3640,4147,2050,1882,1485,2884,2225,1887,2432,2746,2269,1161,1238,418,56,28,17,75,82,87,78,37,0
432,822,2787,1596,495,506,1523,3152,2940,3346,3504,2905,2641,1648,1399,1235,1854,2054,2007,2406,2439,1540,1799,1058,474,309,83,176,73,43,38,13,0
1102,1458,2131,2518,1235,1252,1242,2565,3105,1887,2375,1716,2048,2119,1903,3004,3200,3128,1436,955,364,680,616,1222,635,457,98,110,115,166,36,8,0
972,1958,3159,2368,1169,1062,1106,2567,2766,3246,1717,1793,285,771,505,4842,5300,2354,1637,2000,4129,2209,1482,1344,1324,884,223,184,112,87,32,11,0
724,871,1916,1947,1845,1289,1820,1759,3046,1237,1197,1257,2989,3575,3116,3098,2873,3110,1836,814,894,911,950,444,220,38,10,22,29,196,87,106,0
879,1040,1647,1105,946,1669,2241,2986,2248,1141,856,934,2271,2965,2678,2360,2272,3370,3439,2885,1050,888,739,692,688,700,891,1074,393,208,41,64,1
1082,1658,1781,1730,1598,1668,1897,1788,3406,3657,3462,2491,1291,1574,2063,4654,3929,4408,3523,3422,2840,1494,664,377,415,128,99,10,19,25,19,38,1
1099,1318,1889,1256,1606,1748,3512,2495,3603,3217,2626,1770,1722,1886,3113,3211,1264,1102,322,954,855,2237,526,607,724,799,231,152,21,38,7,11,0
1207,1290,1486,1770,1938,2358,2722,2771,2793,2807,2776,1604,1372,1379,708,280,179,1513,1417,1255,1730,2790,1169,1177,448,321,426,182,10,9,8,8,1
1174,1351,1517,1700,2161,1281,1396,1075,1505,1818,1862,2959,1945,1568,710,1977,2220,5228,4938,2638,2209,1674,1988,1196,608,653,175,186,31,40,26,32,0
1110,1337,2411,2416,1939,1836,2004,2626,3203,3409,4656,3867,3330,930,1259,497,837,320,599,940,1591,1696,568,124,150,187,35,67,113,66,92,98,0
643,1922,1930,2219,1390,1212,687,620,298,857,503,862,447,1450,870,440,144,268,1155,699,531,990,1400,1001,1094,910,532,375,324,129,103,5,0
187,226,1910,2385,2644,3314,2901,2709,2947,1526,1609,1052,1585,1638,578,448,655,415,224,86,124,75,99,108,167,166,254,248,50,9,1,1,1
517,976,896,581,540,1502,2622,1352,1207,1303,2119,1366,1841,1551,1040,619,420,991,649,76,82,111,359,270,172,171,152,101,111,46,16,6,1
867,1339,1555,1609,1733,1900,1153,1129,595,1717,1803,3890,3593,3473,3290,3456,3230,4960,1702,491,440,477,275,293,299,308,374,199,90,90,122,69,1
1118,1328,1437,2668,2267,2081,2031,2592,3519,2874,2706,3227,1609,1461,1310,2396,3103,1400,1015,376,310,346,121,155,12,28,14,33,61,44,17,9,0
1095,1363,1023,1149,1458,2387,2890,2475,1872,1149,806,1229,947,340,351,756,930,567,527,1014,1006,367,438,356,493,539,283,264,59,36,26,6,1
1191,1312,1022,738,626,1089,1949,3148,2184,2025,1000,1965,1306,3240,2569,2398,1523,908,614,1228,3314,3462,2936,3444,2129,932,237,115,63,67,47,67,0
295,58,66,286,2969,4791,2904,1418,1303,1959,2719,1972,1366,1992,3377,3240,3650,1099,962,2140,1846,1239,898,531,571,313,369,289,335,307,94,17,0
281,141,167,538,1523,1555,2345,1321,1130,1388,2473,1997,2131,688,1169,351,608,470,384,209,152,109,204,375,145,57,11,25,43,144,94,53,0
859,421,361,762,2219,2412,1968,2318,1425,1384,1452,2599,3273,3480,3573,2763,1668,1298,1087,819,713,1126,2399,1574,1580,1496,422,398,235,200,90,30,0
731,826,1976,2105,958,563,677,1259,3256,3185,4183,1117,639,155,1071,1620,2135,1616,991,1055,763,1134,486,255,95,128,21,22,3,7,5,5,0
1063,1342,1911,1180,1619,1553,1275,1048,1121,3013,2672,2596,2263,2854,1390,1345,278,761,785,3464,1716,2482,2289,1712,1436,618,253,52,29,22,11,9,1
861,1916,859,1263,951,2913,2856,3048,3192,3384,3111,3245,3235,3133,2307,1625,599,656,871,414,225,219,200,256,274,555,614,209,36,23,45,18,1
1070,1667,2401,2068,2927,1114,636,821,1591,2836,2222,1532,2914,2490,2241,914,764,993,346,205,148,470,523,436,381,425,176,127,134,32,22,7,1
877,2005,1073,440,616,1493,935,596,282,780,1422,1141,975,892,2135,1708,1382,698,867,885,1494,4151,1730,2259,259,413,99,50,4,3,1,1,1
828,1325,1865,1102,1256,583,925,385,437,457,877,588,424,801,1898,1333,1081,363,361,486,801,720,866,2089,2804,1465,272,57,56,105,104,68,1
1082,1316,1726,1693,1095,1061,1147,1780,3449,1088,880,841,2023,3215,4623,4338,3060,1206,647,599,322,109,101,175,350,313,129,137,122,114,13,6,1
945,2133,2190,2254,1295,1205,985,1699,3365,3675,3325,2945,1222,1587,1676,3665,1034,1160,973,852,237,173,626,481,556,601,431,75,40,60,82,82,1
632,498,1048,1843,1894,958,847,1483,1903,1322,1220,1462,2046,1923,2345,676,707,446,459,516,140,267,269,791,952,392,460,410,493,115,39,8,1
703,1639,2569,2097,2157,2540,2653,1284,1361,459,1284,1048,3178,2222,1948,2448,3525,3583,1912,1710,1446,2009,1476,606,337,286,339,53,11,2,3,5,0
861,1319,783,519,610,815,1508,1927,3272,3309,1441,1285,1045,3391,1428,1172,573,2207,2526,1792,1836,1260,243,77,22,26,26,13,24,15,19,20,0
178,473,2254,2528,3231,2659,2811,2250,1729,1684,1118,1356,2179,4428,3435,3434,1220,1020,495,205,105,38,84,97,84,51,102,59,10,4,0,0,0
1219,1117,3254,3166,2661,1894,2235,1370,786,319,469,990,3532,3879,3044,1535,1678,1014,834,319,323,807,905,603,566,1591,429,250,142,87,53,15,0
1090,1449,1958,2110,2701,2505,2372,1865,1918,1987,1386,382,97,110,372,367,347,605,1020,4141,2025,1168,186,185,164,300,470,285,176,135,90,56,1
727,438,582,835,1495,1254,1467,2565,1199,1036,1220,3219,2956,2731,3003,2520,2857,2900,2256,1369,2075,838,1083,764,420,433,390,378,293,558,125,39,0
1097,1476,2014,2181,2431,2478,1894,1633,1580,3119,3155,3684,3746,1539,1132,978,2185,2103,3678,3363,3318,1908,1051,451,432,421,460,152,11,16,15,3,0
574,310,373,491,609,529,961,2605,1427,1489,940,944,210,152,246,822,2329,3360,1193,375,159,320,367,272,184,263,239,169,76,156,51,9,0
1067,1469,2143,2423,1350,1243,918,1480,547,1015,883,1576,542,652,1155,2304,2927,2759,2450,1671,916,509,393,580,402,149,166,295,340,225,156,87,0
510,229,493,1132,2076,2793,1192,1076,207,762,636,1863,941,980,1401,2065,2858,3141,2947,2651,3294,2089,412,376,68,66,49,34,14,39,19,7,0
517,853,2343,1045,1045,630,950,657,1320,1823,3285,2166,2587,2509,3293,3547,2499,1923,747,132,46,15,59,94,156,103,110,75,99,62,54,12,0
